"ID","STATION","LAT","LONG"
"1","SINGLETON",151.1768805,-32.5574849
"2","MAISON DIEU",151.061897,-32.524967
"3","CAMBERWELL",151.091803,-32.472333
"4","MOUNT THORLEY",151.128129,-32.635953
"5","BULGA",151.03602,-32.648705
"6","WYBONG",150.673511,-32.195047
"7","ABERDEEN",150.885928,-32.177344
"8","JERRYS PLAINS",150.885928,-32.4768165
"9","WARKWORTH",151.02721,-32.57401
"10","NEWCASTLE",151.759634,-32.931176
"11","BERESFIELD",151.661018,-32.796787
"12","STOCKTON",151.784274,-32.901973
"13","CARRINGTON",151.763302,-32.909718
"14","LIVERPOOL",150.9073,-33.9313
"15","BRINGELLY",150.76193,-33.91765
"16","ROZELLE",151.163933,-33.864353
"17","RICHMOND",150.747347,-33.616436
"18","ST MARYS",150.766799,-33.795155
"19","PARRAMATTA NORTH",150.997812,-33.799489
"20","RANDWICK",151.242802,-33.931776
"21","OAKDALE",150.49819,-34.05171
"22","EARLWOOD",151.13579,-33.91618
"23","CHULLORA",151.04606,-33.89157
"24","PROSPECT",150.914185,-33.794246
"25","CAMPBELLTOWN WEST",150.79554,-34.06667
"26","CAMDEN",150.690141,-34.0417
"27","MACQUARIE PARK",151.13579,-33.765278
"28","ROUSE HILL",150.903713,-33.682762
"29","COOK AND PHILLIP",151.213337,-33.872468
"30","WOLLONGONG",150.887328,-34.417064
"31","KEMBLA GRANGE",150.81916,-34.47442
"32","BARGO",150.5806,-34.3063
"33","ALBION PARK STH",150.782437,-34.577804
"34","WYONG",151.432414,-33.278966
"35","ARMIDALE",151.661658,-30.50845
"36","PORT MACQUARIE",152.876525,-31.447762
"37","ORANGE",149.094392,-33.274417
"38","GOULBURN",149.724212,-34.734506
"39","COFFS HARBOUR",153.11808,-30.29831
"40","GUNNEDAH",150.260666,-30.981876
"41","TAMWORTH",150.914496,-31.109909
"42","ALBURY",146.9398,-36.05183
"43","BATHURST",149.57459,-33.401922
"44","WAGGA WAGGA NTH",147.360512,-35.104407
"45","NARRABRI",149.829379,-30.31843
